"filename", "language", "C", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\details.md", "Markdown", 0, 27, 0, 0, 0, 6, 33
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 6, 15
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff.csv", "CSV", 0, 0, 2, 0, 0, 0, 2
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff.md", "Markdown", 0, 12, 0, 0, 0, 7, 19
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.csv", "CSV", 0, 0, 20, 0, 0, 0, 20
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.md", "Markdown", 0, 17, 0, 0, 0, 7, 24
"c:\AaravC-Projects\Chess Engine\board.c", "C", 13, 0, 0, 0, 1, 7, 21
"c:\AaravC-Projects\Chess Engine\graphics.c", "C", -2, 0, 0, 0, 0, 0, -2
"c:\AaravC-Projects\Chess Engine\main.c", "C", -1, 0, 0, 0, 1, -1, -1
"c:\AaravC-Projects\Chess Engine\movegen.c", "C", -1, 0, 0, 0, 1, 2, 2
"Total", "-", 9, 65, 22, 1, 3, 34, 134
