"filename", "language", "C", "C++", "Markdown", "Python", "CSV", "JSON", "comment", "blank", "total"
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\details.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff.csv", "CSV", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.csv", "CSV", 0, 0, 0, 0, 20, 0, 0, 0, 20
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\AaravC-Projects\Chess Engine\README.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\AaravC-Projects\Chess Engine\board.c", "C", 770, 0, 0, 0, 0, 0, 71, 117, 958
"c:\AaravC-Projects\Chess Engine\board.h", "C", 78, 0, 0, 0, 0, 0, 4, 13, 95
"c:\AaravC-Projects\Chess Engine\comp.py", "Python", 0, 0, 0, 689, 0, 0, 32, 142, 863
"c:\AaravC-Projects\Chess Engine\compare.py", "Python", 0, 0, 0, 100, 0, 0, 0, 11, 111
"c:\AaravC-Projects\Chess Engine\evaluation.c", "C", 15, 0, 0, 0, 0, 0, 2, 4, 21
"c:\AaravC-Projects\Chess Engine\evaluation.h", "C", 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\AaravC-Projects\Chess Engine\graphics.c", "C", 335, 0, 0, 0, 0, 0, 48, 49, 432
"c:\AaravC-Projects\Chess Engine\graphics.h", "C", 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\AaravC-Projects\Chess Engine\main.c", "C", 32, 0, 0, 0, 0, 0, 8, 11, 51
"c:\AaravC-Projects\Chess Engine\moveOrdering.c", "C", 87, 0, 0, 0, 0, 0, 2, 16, 105
"c:\AaravC-Projects\Chess Engine\moveOrdering.h", "C++", 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\AaravC-Projects\Chess Engine\movegen.c", "C", 525, 0, 0, 0, 0, 0, 72, 92, 689
"c:\AaravC-Projects\Chess Engine\movegen.h", "C", 22, 0, 0, 0, 0, 0, 1, 5, 28
"c:\AaravC-Projects\Chess Engine\search.c", "C", 238, 0, 0, 0, 0, 0, 57, 64, 359
"c:\AaravC-Projects\Chess Engine\search.h", "C", 21, 0, 0, 0, 0, 0, 1, 5, 27
"c:\AaravC-Projects\Chess Engine\zobrist.c", "C", 119, 0, 0, 0, 0, 0, 10, 27, 156
"c:\AaravC-Projects\Chess Engine\zobrist.h", "C++", 0, 27, 0, 0, 0, 0, 0, 5, 32
"Total", "-", 2268, 44, 73, 789, 22, 1, 308, 603, 4108
