"filename", "language", "C", "C++", "Python", "JSON", "Markdown", "CSV", "comment", "blank", "total"
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\details.md", "Markdown", 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\diff-details.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\diff.csv", "CSV", 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\diff.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 7, 27
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\results.csv", "CSV", 0, 0, 0, 0, 0, 27, 0, 0, 27
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\results.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\AaravC-Projects\Chess Engine\board.c", "C", -5, 0, 0, 0, 0, 0, 5, 0, 0
"c:\AaravC-Projects\Chess Engine\board.h", "C", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\AaravC-Projects\Chess Engine\book.c", "C", 129, 0, 0, 0, 0, 0, 8, 29, 166
"c:\AaravC-Projects\Chess Engine\book.h", "C++", 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\AaravC-Projects\Chess Engine\comp.py", "Python", 0, 0, -689, 0, 0, 0, -32, -142, -863
"c:\AaravC-Projects\Chess Engine\convertGrandmasterPgnsToOneFile.py", "Python", 0, 0, 56, 0, 0, 0, 1, 7, 64
"c:\AaravC-Projects\Chess Engine\graphics.c", "C", 95, 0, 0, 0, 0, 0, -1, 15, 109
"c:\AaravC-Projects\Chess Engine\graphics.h", "C", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\AaravC-Projects\Chess Engine\main.c", "C", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\AaravC-Projects\Chess Engine\movegen.c", "C", 91, 0, 0, 0, 0, 0, 0, 11, 102
"c:\AaravC-Projects\Chess Engine\rename.py", "Python", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\AaravC-Projects\Chess Engine\search.c", "C", -8, 0, 0, 0, 0, 0, 0, -4, -12
"c:\AaravC-Projects\Chess Engine\search.h", "C", 1, 0, 0, 0, 0, 0, 0, -1, 0
"c:\AaravC-Projects\Chess Engine\zobrist.c", "C", -1, 0, 0, 0, 0, 0, 1, 0, 0
"Total", "-", 307, 25, -629, 1, 96, 40, -18, -48, -226
