"filename", "language", "C", "C++", "Markdown", "Python", "JSON", "CSV", "comment", "blank", "total"
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\details.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff.csv", "CSV", 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.csv", "CSV", 0, 0, 0, 0, 0, 20, 0, 0, 20
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_18-09-35\results.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\details.md", "Markdown", 0, 0, 34, 0, 0, 0, 0, 6, 40
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\diff-details.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\diff.csv", "CSV", 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\diff.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 7, 27
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\results.csv", "CSV", 0, 0, 0, 0, 0, 27, 0, 0, 27
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\AaravC-Projects\Chess Engine\.VSCodeCounter\2025-08-29_19-17-14\results.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\AaravC-Projects\Chess Engine\README.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\AaravC-Projects\Chess Engine\board.c", "C", 765, 0, 0, 0, 0, 0, 76, 117, 958
"c:\AaravC-Projects\Chess Engine\board.h", "C", 79, 0, 0, 0, 0, 0, 4, 14, 97
"c:\AaravC-Projects\Chess Engine\book.c", "C", 129, 0, 0, 0, 0, 0, 8, 29, 166
"c:\AaravC-Projects\Chess Engine\book.h", "C++", 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\AaravC-Projects\Chess Engine\compare.py", "Python", 0, 0, 0, 100, 0, 0, 0, 11, 111
"c:\AaravC-Projects\Chess Engine\convertGrandmasterPgnsToOneFile.py", "Python", 0, 0, 0, 56, 0, 0, 1, 7, 64
"c:\AaravC-Projects\Chess Engine\evaluation.c", "C", 15, 0, 0, 0, 0, 0, 2, 4, 21
"c:\AaravC-Projects\Chess Engine\evaluation.h", "C", 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\AaravC-Projects\Chess Engine\graphics.c", "C", 430, 0, 0, 0, 0, 0, 47, 64, 541
"c:\AaravC-Projects\Chess Engine\graphics.h", "C", 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\AaravC-Projects\Chess Engine\main.c", "C", 35, 0, 0, 0, 0, 0, 8, 14, 57
"c:\AaravC-Projects\Chess Engine\moveOrdering.c", "C", 87, 0, 0, 0, 0, 0, 2, 16, 105
"c:\AaravC-Projects\Chess Engine\moveOrdering.h", "C++", 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\AaravC-Projects\Chess Engine\movegen.c", "C", 616, 0, 0, 0, 0, 0, 72, 103, 791
"c:\AaravC-Projects\Chess Engine\movegen.h", "C", 22, 0, 0, 0, 0, 0, 1, 5, 28
"c:\AaravC-Projects\Chess Engine\rename.py", "Python", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\AaravC-Projects\Chess Engine\search.c", "C", 230, 0, 0, 0, 0, 0, 57, 60, 347
"c:\AaravC-Projects\Chess Engine\search.h", "C", 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\AaravC-Projects\Chess Engine\zobrist.c", "C", 118, 0, 0, 0, 0, 0, 11, 27, 156
"c:\AaravC-Projects\Chess Engine\zobrist.h", "C", 27, 0, 0, 0, 0, 0, 0, 5, 32
"Total", "-", 2602, 42, 169, 160, 2, 62, 290, 555, 3882
